booking_date,travel_date,destination,package_type,booking_channel,quantity,booking_amount,discount_amount,booking_status,payment_method,agent_name,trip_duration_days,customer_type,city,state,country,age,registration_date,loyalty_tier,preferred_destination
2024-05-12,2026-09-02,Tokyo,Premium,Agent,4,0,164,Completed,Card,Alice,12,Guest,Dubai,DXB,France,66,2023-05-22,Gold,Rome
2025-06-04,2026-01-06,Tokyo,Premium,Mobile App,2,3668,54,Cancelled,UPI,Bob,5,Registered,New York,DXB,USA,34,2025-01-03,Bronze,Sydney
2024-03-20,2025-10-30,Tokyo,Luxury,Agent,5,1469,9,Pending,UPI,Bob,11,Registered,New York,SG,USA,23,2023-04-30,Bronze,Sydney
2024-06-15,2025-07-05,Bangkok,Standard,Agent,4,1463,11,Cancelled,UPI,Bob,9,Registered,New York,SG,USA,37,2025-03-25,Gold,Sydney
2025-04-04,2025-08-28,Bangkok,Standard,Mobile App,4,2534,49,Cancelled,Bank Transfer,Dana,9,Registered,Paris,DXB,UK,33,2024-12-23,Silver,Bangkok
2025-01-26,2026-05-30,Bangkok,Premium,Website,2,2508,154,Completed,UPI,Alice,12,Registered,Dubai,NY,USA,71,2022-06-24,Bronze,Sydney
2025-07-21,2025-04-16,Bangkok,Standard,Mobile App,1,3240,195,Completed,UPI,Dana,10,Registered,Dubai,DXB,Singapore,48,2023-08-20,Bronze,Bangkok
2024-04-03,2025-08-16,Dubai,Premium,Website,4,3783,13,Cancelled,Bank Transfer,Charlie,5,Registered,Dubai,NY,UAE,34,2024-07-20,Silver,Sydney
2025-01-18,2025-08-18,Tokyo,Premium,Website,3,868,37,Completed,Card,Charlie,9,Registered,Singapore,NY,Singapore,68,2022-03-26,Silver,Sydney
2025-04-25,2026-04-05,Bangkok,Standard,Website,1,1336,65,Completed,Card,Dana,3,Registered,Paris,NY,France,31,2024-06-27,Silver,Bangkok
2024-08-31,2025-11-05,Tokyo,Standard,Website,4,2560,163,Pending,UPI,Alice,3,Registered,New York,DXB,France,73,2024-05-16,Gold,Tokyo
2024-01-17,2026-10-10,Bangkok,Luxury,Website,2,4591,74,Cancelled,Card,Charlie,5,Registered,Dubai,NY,UAE,62,2023-09-15,Gold,Sydney
2024-07-10,2026-11-12,Tokyo,Luxury,Mobile App,1,3612,134,Pending,Bank Transfer,Alice,8,Registered,Paris,IDF,Singapore,66,2025-01-17,Silver,Sydney
2025-10-12,2026-02-01,London,Premium,Agent,1,556,91,Completed,UPI,Bob,13,Registered,Dubai,DXB,France,73,2024-05-28,Silver,Tokyo
2025-08-18,2025-12-07,Paris,Standard,Mobile App,5,1049,86,Pending,Card,Dana,13,Registered,London,SG,France,51,2024-10-24,Silver,Bangkok
2024-05-18,2025-03-06,Dubai,Standard,Mobile App,2,1693,11,Completed,Card,Charlie,6,Registered,London,,UK,53,2022-06-03,Bronze,Tokyo
2025-07-10,2026-04-30,London,Standard,Agent,2,3462,73,Cancelled,Card,Charlie,6,Registered,London,DXB,Singapore,59,2024-06-24,Silver,Bangkok
2025-03-23,2026-02-14,Dubai,Premium,Mobile App,2,3214,127,Pending,UPI,Charlie,14,Registered,New York,NY,UAE,40,2024-05-17,Silver,Sydney
2024-03-25,2026-03-11,Tokyo,Premium,Agent,2,2384,139,Cancelled,UPI,Alice,3,Registered,Singapore,DXB,UAE,23,2024-08-20,Silver,Sydney
2024-11-09,2026-04-02,Bangkok,Luxury,Mobile App,2,2621,176,Cancelled,UPI,Dana,2,Registered,New York,DXB,UAE,39,2025-01-16,Silver,Sydney
2025-09-21,2026-03-22,London,Luxury,Website,1,3088,171,Pending,UPI,Charlie,10,Registered,New York,,France,21,2022-09-17,Gold,Sydney
2024-02-01,2025-05-27,Bangkok,Luxury,Mobile App,1,1510,32,Completed,Card,Charlie,7,Registered,New York,,France,57,2025-04-13,Gold,Rome
2024-02-03,2026-09-12,Paris,Luxury,Mobile App,3,4846,95,Cancelled,Card,Bob,10,Registered,Singapore,NY,Singapore,68,2022-03-26,Silver,Sydney
2024-11-17,2026-10-28,London,Standard,Website,1,3460,188,Completed,UPI,Dana,10,Registered,New York,NY,UK,30,2022-02-11,Gold,Bangkok
2024-09-23,2026-04-02,Paris,Luxury,Mobile App,4,2344,51,Completed,Card,Alice,9,Registered,Singapore,SG,UAE,33,2024-08-26,Silver,Bangkok
2024-03-30,2026-11-30,London,Luxury,Mobile App,1,3846,140,Pending,UPI,Charlie,4,Guest,Paris,,France,33,2023-06-28,Silver,Bangkok
2025-01-05,2026-06-05,Paris,Standard,Website,2,1626,60,Cancelled,Card,Charlie,10,Registered,Singapore,,USA,71,2025-02-09,Bronze,Bangkok
2025-04-23,2026-07-19,Paris,Luxury,Website,1,3222,79,Cancelled,Bank Transfer,Dana,10,Registered,Paris,IDF,Singapore,66,2025-01-17,Silver,Sydney
2025-08-11,2025-03-17,Paris,Premium,Agent,1,3554,115,Cancelled,Bank Transfer,Charlie,4,Registered,London,IDF,France,39,2023-07-27,Gold,Rome
2024-11-26,2025-08-19,London,Luxury,Mobile App,1,1526,64,Completed,Bank Transfer,Charlie,4,Registered,Dubai,NY,Singapore,33,2025-03-31,Gold,Tokyo
2025-09-21,2026-07-01,Tokyo,Luxury,Agent,2,2680,151,Pending,Card,Bob,12,Registered,New York,DXB,France,55,2023-09-05,Gold,Sydney
2025-07-31,2025-02-12,Tokyo,Standard,Website,5,2965,67,Pending,Card,Dana,11,Guest,Dubai,IDF,USA,75,2024-08-10,Silver,Bangkok
2025-05-24,2026-10-05,Bangkok,Premium,Agent,3,448,123,Completed,Bank Transfer,Dana,6,Registered,New York,DXB,France,18,2025-03-05,Gold,Tokyo
2024-03-02,2025-06-11,Dubai,Premium,Mobile App,4,797,52,Cancelled,Bank Transfer,Bob,7,Registered,Dubai,DXB,UAE,39,2023-01-13,Bronze,Rome
2024-12-19,2026-02-13,Paris,Premium,Agent,5,2815,27,Cancelled,Card,Dana,3,Registered,London,IDF,UK,68,2022-01-06,Silver,Bangkok
2024-09-10,2025-05-25,Tokyo,Standard,Mobile App,4,3883,157,Cancelled,Card,Bob,7,Registered,Singapore,,UK,44,2024-02-16,Gold,Bangkok
2024-07-13,2025-06-13,Dubai,Luxury,Mobile App,4,2761,78,Cancelled,Card,Alice,8,Registered,Paris,,UK,54,2024-02-24,Bronze,Sydney
2024-09-03,2025-08-09,Bangkok,Premium,Website,1,3945,72,Cancelled,Bank Transfer,Dana,6,Guest,Dubai,IDF,Singapore,34,2022-02-22,Bronze,Bangkok
2024-04-20,2026-03-18,Paris,Premium,Agent,3,266,195,Cancelled,UPI,Alice,8,Registered,Singapore,DXB,UAE,66,2022-04-16,Bronze,Rome
2025-07-29,2025-07-19,London,Luxury,Mobile App,1,4871,98,Pending,UPI,Charlie,11,Registered,London,DXB,UAE,74,2024-07-28,Bronze,Rome
2024-05-11,2025-04-10,Dubai,Premium,Mobile App,5,1173,93,Completed,Card,Dana,10,Guest,New York,DXB,France,59,2024-04-16,Bronze,Bangkok
2024-02-09,2025-05-21,London,Premium,Agent,4,571,38,Pending,Bank Transfer,Bob,7,Registered,New York,SG,UK,52,2023-05-17,Bronze,Sydney
2024-06-15,2026-02-07,Bangkok,Luxury,Mobile App,5,2809,86,Pending,Bank Transfer,Dana,13,Registered,Paris,DXB,UK,33,2024-12-23,Silver,Bangkok
2025-05-01,2025-01-18,London,Premium,Agent,1,2655,106,Pending,UPI,Alice,11,Guest,Paris,SG,France,70,2022-01-06,Silver,Rome
2025-11-02,2026-08-16,Bangkok,Standard,Agent,1,2375,149,Cancelled,Card,Dana,4,Registered,Singapore,NY,UK,58,2023-03-09,Silver,Tokyo
2024-02-02,2026-08-10,Tokyo,Standard,Website,4,2184,80,Cancelled,Card,Dana,13,Guest,New York,DXB,France,59,2024-04-16,Bronze,Bangkok
2025-05-28,2026-09-19,Dubai,Luxury,Agent,1,3561,180,Completed,Bank Transfer,Bob,10,Registered,New York,DXB,France,20,2022-01-08,Silver,Bangkok
2025-06-22,2026-01-21,London,Standard,Mobile App,5,4118,87,Pending,UPI,Charlie,11,Registered,New York,DXB,UAE,39,2025-01-16,Silver,Sydney
2024-09-09,2025-10-13,Bangkok,Premium,Website,3,1775,197,Cancelled,Bank Transfer,Bob,13,Registered,Dubai,DXB,Singapore,48,2023-08-20,Bronze,Bangkok
2024-11-20,2026-05-07,London,Luxury,Agent,3,4205,73,Completed,Bank Transfer,Dana,8,Registered,Paris,,USA,72,2024-07-20,Bronze,Bangkok
2024-10-24,2025-02-13,London,Luxury,Website,3,1399,113,Pending,UPI,Dana,5,Registered,London,DXB,UK,57,2024-12-29,Bronze,Sydney
2024-10-04,2026-07-30,London,Standard,Website,5,4612,189,Pending,Card,Bob,2,Registered,Paris,,France,50,2024-09-27,Silver,Tokyo
2024-08-19,2026-10-16,Paris,Standard,Website,4,4550,84,Pending,UPI,Alice,12,Registered,New York,DXB,USA,34,2025-01-03,Bronze,Sydney
2024-01-06,2026-07-18,Paris,Premium,Agent,4,1326,122,Pending,Card,Charlie,7,Registered,New York,IDF,UK,53,2022-05-03,Gold,Rome
2024-04-01,2026-10-30,Bangkok,Standard,Agent,1,684,44,Cancelled,Card,Alice,8,Registered,Paris,,UK,27,2022-02-20,Bronze,Bangkok
2024-10-23,2025-02-08,Tokyo,Premium,Agent,5,1726,27,Cancelled,UPI,Dana,12,Registered,New York,NY,UK,68,2023-09-22,Gold,Rome
2025-05-20,2025-05-18,Bangkok,Premium,Mobile App,2,4495,28,Cancelled,Card,Dana,12,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2024-01-15,2025-12-12,London,Luxury,Agent,2,1725,44,Pending,Bank Transfer,Dana,8,Registered,New York,SG,Singapore,61,2023-02-08,Silver,Sydney
2024-03-29,2026-02-15,Tokyo,Standard,Website,4,2886,82,Completed,Card,Charlie,8,Registered,London,DXB,Singapore,59,2024-06-24,Silver,Bangkok
2024-09-30,2025-12-04,London,Luxury,Agent,5,3859,2,Cancelled,Bank Transfer,Charlie,13,Registered,Paris,,UK,19,2023-01-31,Silver,Rome
2025-11-14,2025-05-02,Dubai,Premium,Website,4,708,175,Pending,Bank Transfer,Charlie,13,Registered,Paris,,UK,19,2023-01-31,Silver,Rome
2025-01-11,2026-09-22,Paris,Standard,Website,4,2616,39,Cancelled,Bank Transfer,Charlie,8,Registered,Singapore,SG,UAE,33,2024-08-26,Silver,Bangkok
2025-04-27,2026-07-05,Paris,Standard,Agent,5,4699,20,Pending,UPI,Charlie,3,Guest,Paris,NY,France,52,2024-01-05,Bronze,Sydney
2024-03-04,2026-07-15,Bangkok,Standard,Agent,5,1119,38,Completed,UPI,Dana,3,Guest,Paris,SG,France,70,2022-01-06,Silver,Rome
2025-08-20,2026-05-16,Tokyo,Luxury,Mobile App,1,1882,116,Completed,Bank Transfer,Dana,9,Guest,New York,DXB,France,59,2024-04-16,Bronze,Bangkok
2025-07-26,2026-04-19,London,Luxury,Website,4,672,65,Completed,Bank Transfer,Bob,11,Guest,Paris,SG,France,70,2022-01-06,Silver,Rome
2025-03-09,2025-12-19,Tokyo,Luxury,Website,1,571,120,Completed,UPI,Dana,4,Registered,Singapore,NY,USA,61,2025-01-04,Silver,Rome
2025-10-18,2026-10-24,Dubai,Premium,Mobile App,4,1309,96,Cancelled,Card,Bob,12,Registered,Dubai,NY,USA,71,2022-06-24,Bronze,Sydney
2024-07-01,2026-07-05,Dubai,Luxury,Website,2,1171,0,Completed,UPI,Dana,12,Guest,Singapore,SG,USA,23,2024-05-27,Bronze,Sydney
2025-03-10,2026-06-29,Dubai,Standard,Website,4,4660,88,Completed,UPI,Bob,13,Guest,London,SG,France,69,2022-12-24,Bronze,Tokyo
2024-02-02,2026-11-08,Dubai,Luxury,Website,2,1124,52,Completed,Card,Alice,9,Registered,New York,IDF,UAE,38,2023-06-07,Silver,Bangkok
2024-09-07,2025-02-15,Dubai,Premium,Website,5,598,55,Completed,Card,Charlie,5,Registered,Singapore,NY,UK,58,2023-08-12,Bronze,Tokyo
2024-11-22,2026-08-15,Bangkok,Luxury,Mobile App,2,4919,77,Completed,Bank Transfer,Bob,8,Registered,Singapore,NY,USA,48,2024-07-07,Silver,Tokyo
2024-03-03,2026-07-25,Bangkok,Luxury,Website,4,2454,142,Cancelled,Card,Charlie,12,Registered,New York,DXB,UK,29,2024-11-26,Silver,Tokyo
2025-06-21,2025-11-23,Dubai,Premium,Website,3,3322,96,Completed,Bank Transfer,Dana,5,Registered,New York,DXB,USA,34,2025-01-03,Bronze,Sydney
2024-05-27,2026-04-20,Tokyo,Luxury,Mobile App,4,2663,142,Pending,Card,Dana,5,Registered,London,,UK,74,2024-04-24,Bronze,Bangkok
2024-12-04,2026-10-25,Tokyo,Premium,Mobile App,1,1865,137,Pending,Card,Alice,6,Registered,New York,SG,Singapore,61,2023-02-08,Silver,Sydney
2024-03-15,2025-07-12,Bangkok,Luxury,Agent,5,523,55,Cancelled,Card,Charlie,6,Registered,New York,SG,USA,37,2025-03-25,Gold,Sydney
2024-07-13,2025-05-01,Dubai,Standard,Agent,5,1935,180,Completed,UPI,Bob,10,Registered,Singapore,DXB,UK,46,2023-07-24,Bronze,Bangkok
2025-01-24,2026-04-23,Bangkok,Luxury,Mobile App,3,2518,66,Cancelled,Bank Transfer,Dana,9,Registered,London,,UAE,62,2022-11-09,Gold,Bangkok
2024-11-23,2025-07-28,London,Premium,Mobile App,1,4046,144,Completed,Bank Transfer,Bob,2,Registered,London,SG,UK,63,2023-10-01,Silver,Rome
2025-08-21,2026-08-17,Dubai,Premium,Website,2,4732,84,Completed,UPI,Bob,9,Registered,New York,IDF,Singapore,38,2022-09-13,Gold,Rome
2024-09-20,2026-05-16,Dubai,Premium,Website,3,2965,43,Completed,Bank Transfer,Dana,4,Registered,New York,,USA,47,2022-08-29,Gold,Bangkok
2025-06-20,2025-02-04,Tokyo,Luxury,Website,1,681,105,Completed,Bank Transfer,Bob,3,Registered,Singapore,,France,46,2024-09-19,Bronze,Tokyo
2024-01-10,2025-08-12,Bangkok,Premium,Mobile App,1,1437,158,Pending,Bank Transfer,Dana,12,Registered,Singapore,NY,USA,68,2023-11-15,Bronze,Bangkok
2024-01-07,2026-06-29,Bangkok,Premium,Website,1,328,135,Pending,UPI,Charlie,2,Guest,Paris,IDF,UAE,22,2023-04-24,Silver,Bangkok
2024-07-02,2025-04-20,Tokyo,Luxury,Website,2,3727,49,Pending,Bank Transfer,Charlie,7,Registered,Paris,SG,Singapore,49,2024-06-15,Bronze,Tokyo
2024-03-21,2026-01-18,Dubai,Premium,Agent,2,3451,178,Completed,UPI,Alice,12,Registered,Singapore,,UK,44,2024-02-16,Gold,Bangkok
2024-04-05,2026-02-20,Dubai,Premium,Agent,4,459,14,Pending,Card,Bob,3,Registered,New York,IDF,UAE,20,2025-04-01,Silver,Bangkok
2025-10-22,2025-12-06,Bangkok,Standard,Agent,1,3754,58,Completed,Bank Transfer,Dana,6,Registered,Dubai,NY,UAE,62,2023-09-15,Gold,Sydney
2025-12-01,2025-10-15,Bangkok,Luxury,Agent,1,809,45,Cancelled,Card,Bob,11,Registered,Dubai,IDF,Singapore,32,2023-10-27,Bronze,Bangkok
2024-03-19,2025-11-03,Paris,Luxury,Website,5,3462,99,Pending,Bank Transfer,Charlie,8,Registered,Dubai,DXB,UK,73,2024-04-01,Bronze,Bangkok
2024-03-21,2026-05-28,London,Standard,Website,4,1346,59,Completed,UPI,Dana,14,Registered,New York,NY,Singapore,64,2023-03-17,Silver,Sydney
2025-10-11,2025-10-07,Dubai,Premium,Website,3,442,141,Cancelled,UPI,Bob,12,Registered,New York,DXB,UAE,39,2025-01-16,Silver,Sydney
2024-03-28,2026-09-26,London,Standard,Agent,1,3313,21,Cancelled,Card,Dana,13,Guest,Dubai,NY,UK,50,2023-11-11,Bronze,Sydney
2025-02-02,2025-11-21,London,Standard,Website,1,1463,78,Cancelled,UPI,Charlie,3,Registered,London,DXB,Singapore,40,2025-03-23,Silver,Rome
2024-07-10,2026-03-18,Dubai,Luxury,Agent,5,915,104,Completed,Card,Alice,7,Registered,London,,Singapore,46,2022-10-15,Silver,Bangkok
2025-09-03,2026-09-05,London,Premium,Website,3,962,105,Cancelled,Card,Bob,11,Registered,Dubai,IDF,Singapore,63,2023-07-14,Silver,Sydney
2025-01-24,2025-06-23,Paris,Premium,Mobile App,3,1589,126,Completed,Card,Bob,8,Registered,Paris,IDF,USA,72,2022-11-26,Silver,Sydney
2024-11-02,2026-05-11,Tokyo,Premium,Mobile App,2,3649,184,Pending,UPI,Bob,9,Registered,Paris,,UAE,68,2025-04-02,Gold,Rome
2024-11-07,2025-01-07,Dubai,Premium,Agent,4,1309,84,Cancelled,UPI,Dana,12,Registered,Paris,NY,Singapore,53,2023-04-17,Gold,Bangkok
2024-11-03,2025-11-25,Bangkok,Luxury,Website,4,1315,80,Completed,UPI,Charlie,6,Registered,Paris,SG,UAE,38,2024-09-26,Gold,Tokyo
2025-08-12,2025-09-06,London,Premium,Mobile App,4,4222,93,Completed,Bank Transfer,Bob,11,Registered,Dubai,SG,UK,57,2022-03-30,Gold,Rome
2025-11-29,2026-07-18,Tokyo,Luxury,Mobile App,2,1673,112,Cancelled,Bank Transfer,Alice,14,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
2024-05-22,2026-10-11,London,Standard,Mobile App,2,4290,183,Cancelled,UPI,Alice,9,Guest,Paris,NY,UAE,72,2023-10-28,Bronze,Sydney
2025-08-19,2026-02-15,Bangkok,Luxury,Agent,4,4125,139,Completed,UPI,Alice,3,Registered,Singapore,NY,UK,58,2023-08-12,Bronze,Tokyo
2025-11-04,2026-11-12,London,Standard,Agent,5,2233,11,Pending,Bank Transfer,Dana,14,Registered,Dubai,NY,USA,71,2022-06-24,Bronze,Sydney
2024-04-18,2025-01-11,Tokyo,Premium,Website,5,3726,191,Pending,Bank Transfer,Bob,9,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
2025-04-19,2026-11-27,Bangkok,Luxury,Agent,2,3404,88,Completed,UPI,Alice,6,Registered,Dubai,IDF,France,28,2022-08-23,Bronze,Rome
2024-04-28,2025-05-26,London,Premium,Mobile App,4,903,200,Completed,Bank Transfer,Dana,7,Registered,Singapore,NY,Singapore,30,2022-06-25,Bronze,Sydney
2025-03-24,2026-04-09,London,Standard,Mobile App,1,999,181,Completed,Card,Charlie,12,Registered,Singapore,NY,UK,58,2023-03-09,Silver,Tokyo
2024-09-06,2026-06-13,Paris,Luxury,Website,3,1546,143,Cancelled,UPI,Bob,14,Registered,Paris,NY,Singapore,53,2023-04-17,Gold,Bangkok
2024-07-09,2026-10-18,Dubai,Premium,Website,5,1711,50,Cancelled,Bank Transfer,Dana,8,Registered,Paris,DXB,UK,66,2024-08-09,Gold,Sydney
2024-07-29,2025-10-13,Tokyo,Luxury,Website,5,1959,47,Cancelled,UPI,Bob,9,Registered,Singapore,NY,Singapore,45,2022-03-07,Bronze,Tokyo
2025-11-17,2026-05-17,Bangkok,Luxury,Mobile App,5,2349,99,Pending,UPI,Alice,7,Guest,New York,SG,UK,35,2024-09-21,Bronze,Bangkok
2025-09-24,2025-06-26,London,Luxury,Agent,1,3950,172,Completed,UPI,Alice,5,Registered,London,NY,France,42,2023-11-02,Bronze,Sydney
2024-07-06,2026-01-18,Paris,Luxury,Mobile App,4,1158,152,Completed,Bank Transfer,Dana,8,Registered,Dubai,SG,Singapore,45,2025-01-27,Silver,Bangkok
2025-10-12,2026-07-05,Paris,Luxury,Website,4,4186,73,Completed,Card,Charlie,9,Registered,London,IDF,USA,74,2023-05-16,Silver,Rome
2025-01-02,2025-01-10,Dubai,Standard,Website,4,639,143,Pending,Bank Transfer,Dana,8,Registered,Dubai,SG,UK,32,2024-08-02,Gold,Rome
2025-03-01,2026-03-31,Dubai,Standard,Website,5,4228,7,Completed,UPI,Alice,6,Registered,New York,NY,France,49,2022-08-26,Bronze,Bangkok
2024-10-22,2025-06-22,Dubai,Luxury,Agent,4,4604,140,Pending,Card,Alice,6,Registered,London,,UK,74,2024-04-24,Bronze,Bangkok
2025-01-10,2026-07-10,Tokyo,Luxury,Mobile App,5,4649,55,Cancelled,Card,Bob,6,Registered,New York,DXB,France,73,2024-05-16,Gold,Tokyo
2024-09-26,2025-12-23,Tokyo,Premium,Website,2,3884,53,Pending,Bank Transfer,Charlie,13,Registered,Paris,NY,UK,73,2022-07-26,Silver,Rome
2024-06-18,2026-09-23,Paris,Standard,Website,1,3707,145,Cancelled,Bank Transfer,Charlie,11,Registered,Paris,DXB,UK,33,2024-12-23,Silver,Bangkok
2024-11-27,2025-10-27,London,Luxury,Mobile App,5,1579,173,Completed,Card,Dana,2,Registered,Singapore,DXB,UAE,66,2022-04-16,Bronze,Rome
2024-05-15,2025-09-13,Paris,Luxury,Mobile App,2,1239,194,Pending,UPI,Dana,4,Registered,Paris,,UAE,68,2025-04-02,Gold,Rome
2025-10-04,2026-03-01,Dubai,Premium,Website,1,2401,103,Pending,Bank Transfer,Charlie,13,Registered,Paris,,UK,54,2024-02-24,Bronze,Sydney
2025-05-14,2025-12-02,Bangkok,Standard,Agent,1,3924,187,Cancelled,Bank Transfer,Charlie,3,Guest,London,,UAE,60,2022-08-23,Gold,Bangkok
2025-11-29,2025-02-19,Tokyo,Standard,Agent,4,3015,4,Completed,Card,Dana,9,Guest,Paris,IDF,UAE,22,2023-04-24,Silver,Bangkok
2024-07-26,2025-05-16,London,Standard,Mobile App,1,3704,167,Cancelled,UPI,Alice,7,Registered,New York,NY,France,33,2023-04-03,Bronze,Tokyo
2024-02-23,2026-02-10,London,Luxury,Agent,2,1555,109,Pending,Card,Alice,2,Registered,New York,,UK,73,2024-03-24,Gold,Rome
2024-03-20,2025-05-16,Bangkok,Standard,Agent,4,4106,2,Completed,Bank Transfer,Charlie,3,Guest,New York,NY,UK,52,2022-03-15,Silver,Bangkok
2025-05-04,2025-03-14,Paris,Premium,Website,1,1282,26,Cancelled,UPI,Charlie,4,Registered,Dubai,NY,USA,36,2023-03-30,Silver,Bangkok
2025-10-18,2026-11-25,Paris,Standard,Agent,5,1290,2,Pending,Bank Transfer,Bob,9,Registered,Dubai,,USA,55,2023-05-13,Bronze,Rome
2025-10-05,2025-06-05,Dubai,Luxury,Agent,4,1945,55,Completed,Card,Bob,14,Guest,Singapore,SG,USA,23,2024-05-27,Bronze,Sydney
2024-12-25,2026-03-16,London,Standard,Website,3,3345,165,Completed,Card,Charlie,14,Registered,New York,NY,UAE,40,2024-05-17,Silver,Sydney
2025-11-05,2025-11-05,Paris,Luxury,Agent,5,419,48,Pending,UPI,Charlie,12,Registered,Singapore,,UAE,47,2024-01-30,Gold,Sydney
2025-05-21,2026-01-31,Tokyo,Standard,Mobile App,5,2160,18,Pending,Card,Charlie,7,Registered,London,DXB,UAE,74,2024-07-28,Bronze,Rome
2025-08-05,2026-03-07,London,Luxury,Agent,2,3368,195,Cancelled,Card,Alice,11,Registered,London,,Singapore,46,2022-10-15,Silver,Bangkok
2024-09-25,2025-08-09,Tokyo,Standard,Mobile App,5,312,73,Pending,Bank Transfer,Dana,8,Registered,Singapore,NY,UAE,42,2024-08-16,Gold,Rome
2024-03-25,2026-10-18,Bangkok,Luxury,Agent,2,3495,71,Completed,UPI,Alice,10,Guest,Paris,NY,France,52,2024-01-05,Bronze,Sydney
2025-07-03,2025-12-01,Dubai,Luxury,Agent,1,1472,79,Pending,UPI,Bob,2,Registered,New York,DXB,France,20,2022-01-08,Silver,Bangkok
2025-03-20,2025-04-29,Dubai,Luxury,Agent,1,906,79,Pending,Bank Transfer,Bob,3,Registered,New York,NY,France,29,2025-04-04,Silver,Tokyo
2024-01-12,2025-06-17,Dubai,Premium,Agent,5,1324,200,Pending,UPI,Bob,7,Registered,Singapore,DXB,UK,46,2023-07-24,Bronze,Bangkok
2024-04-30,2025-01-31,London,Premium,Mobile App,5,2401,16,Cancelled,Bank Transfer,Alice,9,Registered,New York,NY,USA,43,2023-11-26,Bronze,Bangkok
2025-01-03,2025-02-26,Dubai,Luxury,Website,3,4384,40,Cancelled,Card,Alice,5,Registered,Dubai,DXB,UAE,39,2023-01-13,Bronze,Rome
